Message,Encrypt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Result
SPOILER SPOILERS SPOILERS I FOUND THE FILM AMUSINGIT WAS WEIRD AND I ENJOY ITI LAUGHED A LOT SO THE BOTTOM LINE IS THAT I RECOMMEND THE FILMHOWEVER I HAVE PROBLEMS WITH WHAT LABUTE WANTED TO SAYTHE PL,BRIEPOF BRIEPOFB BRIEPOFB E KIHYM NUO KEPA VAHBEYZEN WVB WOEFM VYM E OYSIT ENE PVHZUOM V PIN BI NUO XINNIA PEYO EB NUVN E FOCIAAOYM NUO KEPAUIWOGOF E UVGO RFIXPOAB WENU WUVN PVXHNO WVYNOM NI BVTNUO RP,19,17,16,13,11,11,11,10,7,7,7,6,6,5,4,3,3,2,2,2,1,1,0,0,0,0,0
THIS DOCUMENTARY FOCUSES ON THE HAPPENINGS IN GOTHENBURG  IN SWEDISH MEDIA THE DEMONSTRATORS WHERE PICTURED AS CRIMINALS THAT STOOD FOR ANARCHY AND VIOLENCE THIS MOVIE SHOWS THAT THERE NOT ACTUALLY TH,SGFN XCJZORYSDHA VCJZNRN CY SGR GDPPRYFYMN FY MCSGRYQZHM  FY NTRXFNG ORXFD SGR XROCYNSHDSCHN TGRHR PFJSZHRX DN JHFOFYDUN SGDS NSCCX VCH DYDHJGA DYX IFCURYJR SGFN OCIFR NGCTN SGDS SGRHR YCS DJSZDUUA SG,18,17,14,14,13,13,13,12,10,7,7,5,5,4,3,3,3,3,2,2,1,0,0,0,0,0,0
THIS SOLID BLACK AND WHITE SLAPSTICK COMEDY WITH A DARK BUT HOPELESSLY CONTRIVED PLOT IS A TRUE CROWD PLEASER THAT WILL HAVE YOU HOWLING WITH LAUGHTER AS WELL AS ROLLING YOUR EYES WITH DISBELIEFITS TH,BZIQ QGCIR NCFOM FPR KZIBD QCFTQBIOM OGWDRL KIBZ F RFSM NEB ZGTDCDQQCL OGPBSIVDR TCGB IQ F BSED OSGKR TCDFQDS BZFB KICC ZFVD LGE ZGKCIPJ KIBZ CFEJZBDS FQ KDCC FQ SGCCIPJ LGES DLDQ KIBZ RIQNDCIDAIBQ BZ,16,15,15,15,13,12,11,10,8,8,7,5,5,5,4,4,3,3,3,2,1,1,0,0,0,0,0
I REALLY LOVE ACTIONADVENTURE FILMS AND THIS IS ONE OF THE BEST OF COURSE WE LOVE THE STARS OF THIS GENRE BRUCE WILLIS SLY STALLONE CLINT EASTWOOD KURT RUSSELL ARNOLD SCHWARZENEGGER AND THE REST BUT I,K UAHXXZ XPIA HFLKPVHBIAVLTUA DKXSE HVB LNKE KE PVA PD LNA MAEL PD FPTUEA CA XPIA LNA ELHUE PD LNKE YAVUA MUTFA CKXXKE EXZ ELHXXPVA FXKVL AHELCPPB WTUL UTEEAXX HUVPXB EFNCHUQAVAYYAU HVB LNA UAEL MTL K,22,16,15,14,12,12,10,10,10,6,6,5,5,4,4,3,3,3,2,1,1,1,0,0,0,0,0
THIS IS AN AMAZINGLY WELLFILMED EARLY TALKIE ADAPTATION OF THE EUGENE ONEILL PLAY ITS MAJOR DRAWBACK IS A STATIC CAMERA AND AS A RESULT IT COMES OFF MUCH OF THE TIME AS THE FILMED PLAY IT IS WHICH IS ,BQCD CD GK GIGOCKMUX PSUUYCUISE SGVUX BGUACS GEGFBGBCRK RY BQS SJMSKS RKSCUU FUGX CBD IGHRV EVGPTGZA CD G DBGBCZ ZGISVG GKE GD G VSDJUB CB ZRISD RYY IJZQ RY BQS BCIS GD BQS YCUISE FUGX CB CD PQCZQ CD ,21,17,16,14,12,11,8,7,7,6,6,6,5,5,4,3,3,3,2,2,1,1,1,0,0,0,0
NOW I AM NOT PRONE TO MUCH EMOTION BUT I CRIED SEEING THIS MOVIE IT CERTAINLY HAS MORE APPEAL AMONG BLACKS THAN OTHER ETHNIC GROUPS BUT THERE IS SOMETHING HERE FOR EVERYONE THE CLASSIC SONG ITS SO HAR,NHG F PY NHA TWHNZ AH YVBI ZYHAFHN CVA F BWFZL OZZFND AIFO YHQFZ FA BZWAPFNRU IPO YHWZ PTTZPR PYHND CRPBSO AIPN HAIZW ZAINFB DWHVTO CVA AIZWZ FO OHYZAIFND IZWZ JHW ZQZWUHNZ AIZ BRPOOFB OHND FAO OH IPW,20,16,15,14,12,12,11,11,10,7,7,5,4,4,4,3,2,2,1,1,1,1,0,0,0,0,0
IVE TRIED TO REMEMBER THE NAME OF THIS MOVIE FOR YEARS AND YEARS FINALLY READ SOMETHING TODAY  THAT MENTIONED STACY KEACHS NAME AND IT REMINDED ME THAT I HAD SEEN A MOVIE THAT HE WAS IN IN  AT THE ATL,OJB WIOBC WQ IBUBUSBI WZB EDUB QT WZOM UQJOB TQI VBDIM DEC VBDIM TOEDRRV IBDC MQUBWZOEY WQCDV  WZDW UBEWOQEBC MWDFV PBDFZM EDUB DEC OW IBUOECBC UB WZDW O ZDC MBBE D UQJOB WZDW ZB KDM OE OE  DW WZB DWR,24,19,18,13,12,10,10,9,8,8,8,5,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0
I WAS VERY IMPRESSED WITH WITH THIS FILM WHICH WAS DIRECTED BY LUIGI BAZZONI THE STORY WAS ABOUT A YOUNG WOMAN TRANSLATOR WHO SUDDENLY HAS LOST ALL MEMORY OF THE LAST THREE DAYS AND HAS SUFFERED NIGHT,C XNA KOHU CZSHOAAOQ XCYF XCYF YFCA DCWZ XFCEF XNA QCHOEYOQ VU WMCGC VNIILBC YFO AYLHU XNA NVLMY N ULMBG XLZNB YHNBAWNYLH XFL AMQQOBWU FNA WLAY NWW ZOZLHU LD YFO WNAY YFHOO QNUA NBQ FNA AMDDOHOQ BCGFY,15,15,14,13,12,12,10,9,8,8,8,7,7,5,5,4,3,3,2,2,1,1,0,0,0,0,0
GREAT HISTORICAL MOVIE WILL NOT ALLOW A VIEWER TO LEAVE ONCE YOU BEGIN TO WATCH VIEW IS PRESENTED DIFFERENTLY THAN DISPLAYED BY MOST SCHOOL BOOKS ON THIS SUBJECT MY ONLY FAULT FOR THIS MOVIE IS IT WAS,DBARH PMTHCBMLRY XCIMA UMYY FCH RYYCU R IMAUAB HC YARIA CFLA OCK WADMF HC URHLP IMAU MT NBATAFHAV VMZZABAFHYO HPRF VMTNYROAV WO XCTH TLPCCY WCCET CF HPMT TKWJALH XO CFYO ZRKYH ZCB HPMT XCIMA MT MH URT,17,17,15,15,12,11,10,8,6,6,6,6,5,5,4,4,4,4,3,2,2,1,1,0,0,0,0
ANYBODY INTERESTED WHAT BLACK FILM MAKING WAS LIKE IN THE S WATCH THIS FILM SOME THE DIALOG IN THIS FILM IS SO FUNNY IE THE SUMMARY OF MY SUBMISSION ALSO WATCH OUT FOR THE BOOM MIC TO SHOW UP IN SOME ,XOFJCVF YOKRBRUKRV HDXK JPXST WYPZ ZXTYOE HXU PYTR YO KDR U HXKSD KDYU WYPZ UCZR KDR VYXPCE YO KDYU WYPZ YU UC WLOOF YR KDR ULZZXBF CW ZF ULJZYUUYCO XPUC HXKSD CLK WCB KDR JCCZ ZYS KC UDCH LM YO UCZR ,17,15,14,13,12,11,10,10,9,7,6,5,5,5,4,4,3,3,3,2,1,0,0,0,0,0,0
FILM CERTAINLY CAN BE A NARRATIVE MEDIUM BUT BY NO MEANS IS IT THE IDEAL MEDIUM LITERATURE BEST CARRIES A PLOT BECAUSE THE READER CAN SUPPLY THE IMAGINATION NECESSARY TO COMPLETE THE STRUCTURE FILM IS,GJCK PITHNJSCY PNS BI N SNTTNHJEI KIUJQK BQH BY SR KINSO JO JH HZI JUINC KIUJQK CJHITNHQTI BIOH PNTTJIO N ACRH BIPNQOI HZI TINUIT PNS OQAACY HZI JKNXJSNHJRS SIPIOONTY HR PRKACIHI HZI OHTQPHQTI GJCK JO,24,17,16,15,12,10,9,9,8,8,8,5,5,4,4,4,4,2,1,1,0,0,0,0,0,0,0
WELL MY DAD DROVE LEE EVANS BACK AND FORTH THE HOTELS SO I GOT TO SEE SOME BEING MADE ITS A BRILLIANT FILM BOB PUGH WALKED PAST A SHED WITH A LAWNMOWER AND HE ACCIDENTALLY LET GO AND IT WENT INTO A FE,WNZZ TI FYF FEMSN ZNN NSYUK GYDJ YUF HMEVB VBN BMVNZK KM A QMV VM KNN KMTN GNAUQ TYFN AVK Y GEAZZAYUV HAZT GMG XCQB WYZJNF XYKV Y KBNF WAVB Y ZYWUTMWNE YUF BN YDDAFNUVYZZI ZNV QM YUF AV WNUV AUVM Y HN,20,17,14,12,11,10,10,10,8,7,6,5,5,4,4,3,3,2,2,2,2,1,0,0,0,0,0
LIV TYLER LIV TYLER LIV TYLER YEAH ITS HARD TO KEEP YOUR MIND OFF THIS FETCHING BEAUTY GIVING AN RADIANTLY PICTUREPERFECT PERFORMANCE AS SHE SIMPLY HAS TONGUES WAGGING ONE NIGHT AT MCCOOLS IS A DEMENT,SIC AJSVH SIC AJSVH SIC AJSVH JVUB IAG BUHF AK YVVL JKTH XIEF KPP ABIG PVAQBIEW MVUTAJ WICIEW UE HUFIUEASJ LIQATHVLVHPVQA LVHPKHXUEQV UG GBV GIXLSJ BUG AKEWTVG RUWWIEW KEV EIWBA UA XQQKKSG IG U FVXVEA,18,15,15,12,11,10,9,9,8,8,8,7,6,5,5,5,4,4,4,1,1,1,0,0,0,0,0
I LIKED THIS MOVIE MANY PEOPLE REFER TO IT AS SABRINA THE TEENAGE FEMINIST THEY DO THAT WITH A LOT OF MOVIES THAT MELISSA JOAN HART IS IN STILL SHE REALLY SURPRISED ME IN THIS MOVIE BECAUSE SHE WAS GR,G BGNTV KPGR QACGT QUFY JTAJBT ITXTI KA GK UR RUSIGFU KPT KTTFUZT XTQGFGRK KPTY VA KPUK HGKP U BAK AX QACGTR KPUK QTBGRRU OAUF PUIK GR GF RKGBB RPT ITUBBY RLIJIGRTV QT GF KPGR QACGT STEULRT RPT HUR ZI,22,18,16,16,14,10,9,8,8,7,7,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0
THERE IS ONE OF THE BEST MOVIES DIRECTED BY ANDRZEJ WAJDATHAT STORY TOLD ABOUT YOUNG WRITER WHO IS SEEKIN HIS PLACE AFTER A SECOND WARHES SURVIVE GERMAN CAMPEXCELLENT TRUE ATMOSPHEREACTION GOES IN CAM,ZOSRS NA GDS GF ZOS HSAZ KGENSA LNRSIZSL HV XDLRUSJ TXJLXZOXZ AZGRV ZGWL XHGCZ VGCDP TRNZSR TOG NA ASSYND ONA BWXIS XFZSR X ASIGDL TXROSA ACRENES PSRKXD IXKBSQISWWSDZ ZRCS XZKGABOSRSXIZNGD PGSA ND IXK,25,15,14,12,12,12,10,9,7,7,6,5,4,4,4,3,3,3,3,3,2,2,1,1,1,0,0
THE SEA INSIDE A FILM BY ALEJANDRO AMENABARALMODOVAR HAS ALWAYS SINGLE HANDED THE FLAG FOR SPANISH CINEMA FOR YEARS NOW OUT OF NOWHERE CAME AMENABAR REINVENTING GENRES AND INJECTING SOME NEW BLOOD TO ,OUM JMI WTJWRM I ZWKD VN IKMYITRQA IDMTIVIQIKDARAPIQ UIJ IKFINJ JWTCKM UITRMR OUM ZKIC ZAQ JXITWJU GWTMDI ZAQ NMIQJ TAF ASO AZ TAFUMQM GIDM IDMTIVIQ QMWTPMTOWTC CMTQMJ ITR WTYMGOWTC JADM TMF VKAAR OA ,22,21,18,13,10,10,10,7,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0,0,0,0
HERE YOU SEE MR EASTWOOD IN ALL OF HIS GLORY IE AT THE TOP OF HIS FORM AS AN ACTOR AND AT THE HEIGHT OF HIS PHYSICAL APPEAL BUT THE LADIES DEPICTED ARE HARDLY TYPICAL OF THE SOUTH THEN OR NOW THE YOUN,KBMB IGZ PBB NM BEPDQGGA SW ECC GF KSP HCGMI SB ED DKB DGV GF KSP FGMN EP EW EXDGM EWA ED DKB KBSHKD GF KSP VKIPSXEC EVVBEC UZD DKB CEASBP ABVSXDBA EMB KEMACI DIVSXEC GF DKB PGZDK DKBW GM WGQ DKB IGZW,18,16,15,15,15,10,9,8,8,6,6,6,6,5,4,4,2,2,2,1,0,0,0,0,0,0,0
THE MOVIE FOREVER STRONG WILL NEVER BE NOMINATED FOR AN OSCAR IT WILL NEVER BE NOMINATED FOR BEST ACTING FOR BEST MOTION PICTURE BUT THIS MOVIE DOES HAVE THINGS THAT OTHER MOVIES DONT IN A NATION WITH,RIO BZHYO PZKOHOK URKZSA DYWW SOHOK TO SZBYSLROV PZK LS ZUMLK YR DYWW SOHOK TO SZBYSLROV PZK TOUR LMRYSA PZK TOUR BZRYZS JYMRQKO TQR RIYU BZHYO VZOU ILHO RIYSAU RILR ZRIOK BZHYOU VZSR YS L SLRYZS DYRI,20,19,17,16,15,11,9,8,7,7,6,5,4,4,4,3,3,3,2,1,0,0,0,0,0,0,0
IVE WATCHED THIS MOVIE ON A FAIRLY REGULAR BASIS FOR MOST OF MY LIFE AND IT NEVER GETS OLD FOR ALL THE SNIDE REMARKS AND INSULTS MOSTLY FROM DAVID SPADE TOMMY BOY HAS A GIANT HEART AND THATS WHAT KEEP,VKA CQFBZAX FZVE PYKVA YH Q OQVGRN GAUTRQG WQEVE OYG PYEF YO PN RVOA QHX VF HAKAG UAFE YRX OYG QRR FZA EHVXA GAPQGSE QHX VHETRFE PYEFRN OGYP XQKVX EJQXA FYPPN WYN ZQE Q UVQHF ZAQGF QHX FZQFE CZQF SAAJ,18,15,14,13,11,11,10,9,8,8,8,7,6,5,4,3,2,2,2,2,2,1,0,0,0,0,0
THIS IS CHRISTMAS TIME A NATIVITY IN TERMS OF REBIRTH OR AT LEAST THIS IS WHAT CAN BE HOPED REGARDING THE ITALIAN CINEMA IT WAS SOMETHING LIKE  YEARS THAT THE ITALIAN CINEMA DIDNT CRAFT AN ART PIECE O,IWEY EY CWPEYIKQY IEKG Q SQIELEID ES IGPKY OA PGHEPIW OP QI BGQYI IWEY EY JWQI CQS HG WOUGV PGNQPVESN IWG EIQBEQS CESGKQ EI JQY YOKGIWESN BERG  DGQPY IWQI IWG EIQBEQS CESGKQ VEVSI CPQAI QS QPI UEGCG O,22,22,20,16,11,11,10,10,6,6,5,4,4,3,2,2,2,2,2,1,1,0,0,0,0,0,0
SAFER INDEED HITCHCOCK IS CINEMAS ALL TIME PERVERT HOWEVER WE ALL KNOW HIS PERVERSIONS ARE OURS AS WELL SO WE FORGIVE HIM AND WE NOT ONLY FORGIVE HIM BUT WE APPLAUD HIS CLEVER WAY TO INVITE US FOR AN ,FRSUA LKDUUD ZLGPZPQPB LF PLKUNRF RJJ GLNU TUAHUAG ZQOUHUA OU RJJ BKQO ZLF TUAHUAFLQKF RAU QEAF RF OUJJ FQ OU SQAMLHU ZLN RKD OU KQG QKJX SQAMLHU ZLN IEG OU RTTJRED ZLF PJUHUA ORX GQ LKHLGU EF SQA RK ,22,14,12,12,11,11,9,9,8,7,7,7,5,4,4,4,4,4,2,2,2,1,0,0,0,0,0
LACKAWANA BLUES AN IMPRESSIVE HBO MOVIE ABOUT A BEAUTIFUL WOMAN THAT MADE HER HOUSE A HOME FOR SEVERAL CHARACTERSTOUCHINGALIVEENTRANCINGA GREAT MIX OF SOUND AND STORY BASED ON A TRUE STORY FEATURING A,YEATEXERE OYWVK ER LSNJVKKLGV POQ SQGLV EOQWU E OVEWULCWY XQSER UPEU SEZV PVJ PQWKV E PQSV CQJ KVGVJEY APEJEAUVJKUQWAPLRHEYLGVVRUJERALRHE HJVEU SLB QC KQWRZ ERZ KUQJF OEKVZ QR E UJWV KUQJF CVEUWJLRH E,24,18,13,12,12,11,10,9,9,7,6,5,5,5,4,4,4,4,2,2,1,1,1,0,0,0,0
WE OPEN IN A DOCTORS ROOM OF SOME SORT A GIRL IS ESCORTED TO A SEAT ACROSS FROM THE DOCTOR HE ASKS HER QUESTIONS SILENCE FOLLOWS HE CONTINUES TO ASK QUESTIONS IGNORING THE GIRLS OBVIOUS TRAUMATISED AT,SX QAXL BL K TQYWQPG PQQI QD GQIX GQPW K OBPU BG XGYQPWXT WQ K GXKW KYPQGG DPQI WCX TQYWQP CX KGZG CXP FRXGWBQLG GBUXLYX DQUUQSG CX YQLWBLRXG WQ KGZ FRXGWBQLG BOLQPBLO WCX OBPUG QEJBQRG WPKRIKWBGXT KW,23,21,17,15,12,12,10,9,6,5,5,5,4,4,4,3,2,2,2,1,1,1,0,0,0,0,0
